1 59 0 0 0 0 0 199 12 0 0 0 NA NA NA NA NA 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 56 2 2 0 0 1 387 21 0 0 0 0 NA NA NA NA 1 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 54 2 2 0 0 4 550 24 0 0 0 1 NA NA NA NA 3 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 54 5 5 0 0 6 671 34 0 0 0 0 NA NA NA NA 2 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
5 49 6 6 0 0 11 771 43 0 0 0 1 NA NA NA NA 5 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
6 72 6 6 0 0 18 887 34 1 0 0 2 NA NA NA NA 8 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 62 10 10 0 0 23 993 57 2 0 0 2.5 NA NA NA NA 6 57 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
8 48 13 12 1 0 27 1090 51 2 0 0 1 NA NA NA NA 5 51 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
9 64 17 16 1 0 33 1177 46 2 0 0 2 NA NA NA NA 6 46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
10 59 20 19 1 0 33 1257 50 5 0 0 2.5 NA NA NA NA 3 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
11 59 20 19 1 0 40 1318 65 7 0 0 3.5 NA NA NA NA 9 65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
12 53 21 20 1 0 52 1372 63 8 0 0 4 NA NA NA NA 13 63 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
13 229 25 21 4 1 55 1349 59 11 0 0 5 4 NA 4 NA 9 59 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1
14 57 28 24 4 1 53 1412 66 16 2 0 5 4 NA 4 NA 5 66 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3
15 66 29 25 4 1 60 1450 80 19 2 0 6 4 NA 4 NA 11 80 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2
16 60 30 26 4 1 62 1493 79 27 5 0 7 4 NA 4 NA 12 79 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1
17 50 35 30 5 1 67 1537 69 27 6 0 7 4 NA 4 NA 6 69 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3
18 68 38 33 5 1 71 1564 70 31 6 0 8 4 NA 4 NA 9 70 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2
19 51 42 37 5 1 77 1599 72 32 10 0 6 4 NA 4 NA 8 72 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 5
20 73 43 38 5 2 86 1623 83 36 13 0 7 10 NA 10 NA 14 83 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1
21 46 44 38 6 2 93 1680 65 36 17 0 8 10 NA 10 NA 8 65 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1
22 72 46 40 6 2 97 1693 74 41 20 0 8.5 10 NA 10 NA 11 74 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2
23 62 50 42 8 4 99 1704 90 50 20 0 8.5 10 NA 10 NA 11 90 1 3 0 0 0 0 0 0 1 3 0 0 0 0 0 0 4
24 52 51 43 8 5 110 1701 100 55 20 0 9 14 NA 14 NA 17 100 1 4 0 0 0 0 0 0 1 4 0 0 0 0 0 0 2
25 188 57 44 13 6 106 1686 74 60 22 0 8 12.5 NA 12.5 NA 10 74 2 4 0 0 0 0 0 0 2 4 0 0 0 0 0 0 1
26 63 59 46 13 6 113 1699 84 62 25 0 9 12.5 NA 12.5 NA 10 84 1 4 1 0 0 0 0 0 1 4 1 0 0 0 0 0 2
27 77 60 47 13 7 110 1701 73 68 27 0 10 11 NA 11 NA 6 73 2 4 1 0 0 0 0 0 2 4 1 0 0 0 0 0 1
28 65 64 49 15 7 113 1721 78 71 28 0 10 11 NA 11 NA 10 78 2 3 2 0 0 0 0 0 2 3 2 0 0 0 0 0 3
29 59 67 52 15 7 115 1737 74 72 31 0 11 11 NA 11 NA 9 74 2 3 2 0 0 0 0 0 2 3 2 0 0 0 0 0 3
30 81 65 50 15 7 118 1761 72 76 33 0 12 11 NA 11 NA 8 72 2 3 2 0 0 0 0 0 2 3 2 0 0 0 0 0 0
31 56 67 52 15 9 120 1774 76 85 37 0 12 11 NA 11 NA 14 76 2 5 2 0 0 0 0 0 2 5 2 0 0 0 0 0 0
32 68 66 53 13 9 128 1758 92 88 36 0 13 11 NA 11 NA 14 92 2 5 2 0 0 0 0 0 2 5 2 0 0 0 0 0 2
33 73 69 56 13 11 131 1752 98 92 37 0 14 12 NA 12 NA 13 98 2 6 3 0 0 0 0 0 2 6 3 0 0 0 0 0 2
34 80 71 58 13 13 130 1735 96 96 40 0 14 13 NA 13 NA 8 96 1 7 5 0 0 0 0 0 1 7 5 0 0 0 0 0 0
35 70 77 60 17 15 132 1729 93 104 44 0 13 14 NA 14 NA 10 93 0 9 6 0 0 0 0 0 0 9 6 0 0 0 0 0 2
36 61 78 60 18 16 140 1721 102 108 46 0 14 14 NA 14 NA 14 102 0 9 7 0 0 0 0 0 0 9 7 0 0 0 0 0 1
37 155 79 61 18 20 131 1690 84 118 50 0 15 16.5 NA 16.5 NA 9 84 0 11 9 0 0 0 0 0 0 11 9 0 0 0 0 0 1
