1 73 116 89 27 24 21 1851 99 50 91 477 26.5 26 17 29 NA 22 99 0 2 3 19 0 0 2 1 0 2 1 18 0 0 0 0
2 84 115 87 28 25 32 1810 143 53 90 800 27 27 25 27 48 16 143 0 3 3 19 0 0 2 1 0 3 1 17 0 0 0 1
3 72 116 88 28 28 45 1773 145 58 89 1033 27.5 28 28.5 28 35.5 20 145 0 3 5 20 0 0 3 1 0 3 2 17 0 0 0 2
4 61 114 86 28 32 64 1709 188 69 87 1267 28 27 29.5 27 35.5 33 188 0 4 7 21 0 0 4 2 0 4 3 17 0 0 0 2
5 77 112 85 27 31 85 1681 177 71 87 1439 29 27 27 28 26.5 26 177 0 5 8 18 0 1 4 2 0 4 2 14 0 0 2 2
6 75 108 82 26 29 102 1648 173 73 83 1608 29 27 27 26 26.5 24 173 0 5 7 17 0 1 3 3 0 4 2 12 0 0 2 2
7 73 105 79 26 36 117 1619 205 85 85 1743 30 27.5 32 23 26.5 32 205 0 5 10 21 0 2 4 7 0 3 4 12 0 0 2 2
8 83 104 80 24 41 128 1562 210 96 81 1858 29 28 30 29 26.5 25 210 1 6 10 24 1 3 4 8 0 3 4 14 0 0 2 2
9 74 106 83 23 41 146 1510 207 100 80 1939 29.5 28 32 26 26.5 30 207 1 4 12 24 1 2 5 9 0 2 5 13 0 0 2 2
10 79 104 78 26 47 141 1466 222 123 78 2013 28.5 30 32.5 29 26.5 27 222 2 5 13 27 2 3 6 13 0 2 5 12 0 0 2 2
11 69 103 77 26 52 151 1478 177 136 78 2083 28 28.5 31 26 26.5 27 177 3 6 16 27 2 4 9 13 1 2 5 12 0 0 2 2
12 82 101 74 27 52 153 1488 221 147 76 2149 28 28 29 26 26.5 25 221 3 8 13 28 2 6 7 13 1 2 4 13 0 0 2 2
13 82 103 75 28 53 156 1506 198 168 77 2224 28 28 28 29 26.5 30 198 3 8 13 29 2 7 8 13 1 1 4 13 0 0 1 3
14 69 104 76 28 56 163 1513 202 179 78 2311 28 28 28 29 26.5 24 202 3 9 13 31 2 8 8 15 1 1 4 13 0 0 1 3
15 76 105 77 28 59 156 1522 189 206 80 2368 27 28 28 26 26.5 22 189 3 10 9 37 2 8 6 19 1 2 3 14 0 0 0 4
16 75 107 79 28 61 151 1514 231 222 79 2401 25 28 30 25 28.5 24 231 4 10 8 39 3 8 5 21 1 2 3 14 0 0 0 4
17 64 104 78 26 62 151 1509 208 241 76 2450 24 26.5 26 27 31 26 208 5 11 10 36 4 10 6 20 1 1 4 13 0 0 0 3
18 71 103 78 25 63 153 1505 208 260 76 2480 25 27 26 28 31 27 208 5 11 11 36 4 10 7 21 1 1 4 12 0 0 0 3
19 81 100 74 26 59 169 1506 205 261 71 2512 24 27 26 27 39.5 31 205 5 8 12 34 4 7 9 20 1 1 3 12 0 0 0 2
20 65 98 74 24 58 163 1517 214 273 74 2546 25 26.5 26 24 39.5 15 214 4 8 13 33 3 7 10 20 1 1 3 11 0 0 0 2
21 83 97 73 24 54 158 1488 236 292 74 2580 24 27.5 27 27 48 25 236 3 8 10 33 3 7 7 21 0 1 3 11 0 0 0 1
22 77 96 72 24 56 162 1496 249 305 75 2631 24.5 26.5 26 27 48 24 249 3 9 11 33 3 8 8 21 0 1 3 11 0 0 0 1
23 70 96 72 24 56 171 1486 219 315 74 2653 25.5 26.5 26 27 48 28 219 3 9 11 33 3 8 8 21 0 1 3 11 0 0 0 1
24 74 95 71 24 56 176 1480 243 328 75 2692 26 26 25.5 27 48 25 243 3 9 11 33 3 8 8 21 0 1 3 11 0 0 0 1
