36 68 97 82 15 37 158 1721 102 12 66 604 26 21 13 21 NA 9 102 0 3 10 24 0 0 3 2 0 3 7 22 0 0 0 0 3 131
37 84 95 80 15 37 156 1718 107 6 64 610 27 21 19.5 21 NA 10 107 0 3 10 24 0 0 4 2 0 3 6 22 0 0 0 0 0 138
38 80 98 83 15 37 158 1735 90 11 63 625 25.5 21 19.5 21 NA 15 90 0 1 10 26 0 0 3 3 0 1 7 23 0 0 0 0 3 146
39 72 94 79 15 39 162 1725 113 6 64 641 26.5 21 19.5 21 NA 14 113 0 2 11 26 0 0 3 3 0 2 8 23 0 0 0 0 0 128
40 62 95 79 16 41 160 1723 109 9 66 649 26 26 26 26 NA 10 109 0 2 12 27 0 0 4 3 0 2 8 24 0 0 0 0 1 131
41 78 93 79 14 41 168 1707 107 8 64 663 27 25 22.5 25 NA 18 107 0 3 12 26 0 1 4 3 0 2 8 23 0 0 0 0 1 125
42 80 93 79 14 42 162 1704 114 10 63 671 28 26.5 22.5 27.5 NA 10 114 0 2 13 27 0 1 3 4 0 1 10 23 0 0 0 0 1 143
43 65 95 81 14 42 166 1703 119 12 63 686 27 26.5 22.5 27.5 NA 18 119 0 3 10 29 0 1 3 4 0 2 7 25 0 0 0 0 1 140
44 65 95 81 14 43 164 1702 102 8 69 692 28 26 22.5 27 NA 9 102 0 4 9 30 0 1 3 4 0 3 6 26 0 0 0 0 0 125
45 75 92 77 15 40 166 1712 100 8 68 701 25 23 19 25 NA 10 100 0 5 7 28 0 1 1 5 0 4 6 23 0 0 0 0 1 139
46 66 91 75 16 40 170 1691 113 6 67 711 25 26.5 19 29 NA 12 113 0 3 6 31 0 0 1 6 0 3 5 25 0 0 0 0 1 117
47 93 95 79 16 41 160 1686 106 14 73 727 22 25 19 26.5 NA 6 106 0 4 6 31 0 0 1 6 0 4 5 25 0 0 0 0 1 131
48 76 98 81 17 42 171 1695 109 11 75 742 21 21 19 21 NA 21 109 0 6 6 30 0 0 1 6 0 6 5 24 0 0 0 0 2 155
49 68 98 81 17 43 172 1695 114 12 74 749 22 21 19 23 NA 16 114 0 6 7 30 0 0 1 6 0 6 6 24 0 0 0 0 0 144
50 76 100 83 17 41 179 1699 109 9 74 763 22 21 22.5 21 NA 19 109 0 6 5 30 0 0 1 5 0 6 4 25 0 0 0 0 1 143
51 85 102 84 18 42 182 1686 111 7 73 769 22 21 22.5 21 NA 13 111 0 4 7 31 0 0 1 5 0 4 6 26 0 0 0 0 2 126
