1 1 1 0 0 1 166 13 0 0
2 4 2 0 85 2 356 33 0 0
3 3 4 0 219 4 493 69 0 0
4 3 5 0 387 10 609 116 0 0
5 2 8 0 521 13 746 158 0 0
6 4 10 0 678 23 868 197 1 0
7 1 15 0 827 29 962 257 3 0
8 4 17 0 993 35 1036 319 1 0
9 4 18 0 1128 39 1120 372 2 0
10 2 21 0 1247 48 1166 446 2 0
11 3 21 0 1372 61 1222 509 5 0
12 4 22 1 1492 71 1301 567 3 0
13 2 26 1 1616 80 1347 630 7 1
14 1 26 1 1730 88 1368 707 6 2
15 6 27 1 1826 95 1407 766 7 4
16 2 28 2 1925 100 1450 819 9 5
17 2 29 4 2020 103 1477 884 11 8
18 3 30 5 2125 113 1508 946 8 10
19 2 31 7 2229 125 1541 1008 15 15
20 2 32 7 2326 138 1552 1073 12 17
21 5 33 8 2402 148 1584 1116 19 18
22 0 33 12 2466 157 1617 1167 21 21
23 3 36 13 2545 168 1661 1202 20 21
24 1 37 13 2637 178 1686 1244 27 22
25 0 38 16 2715 196 1696 1291 31 26
26 2 40 16 2779 209 1710 1352 30 26
27 1 41 17 2838 224 1712 1397 34 27
28 3 44 18 2892 237 1717 1454 28 28
29 2 46 18 2944 256 1727 1504 36 29
30 2 47 20 3013 270 1736 1534 41 30
31 6 49 22 3056 284 1728 1592 35 31
32 3 51 23 3111 297 1765 1601 39 32
33 3 53 23 3159 308 1773 1639 45 33
34 2 57 25 3211 315 1793 1662 48 33
35 3 58 26 3252 331 1784 1725 38 36
36 2 58 26 3299 342 1784 1763 50 37
37 3 59 28 3346 350 1790 1793 49 38
38 4 61 29 3393 362 1813 1810 43 40
39 4 62 29 3434 376 1834 1843 46 41
40 0 63 30 3480 389 1835 1894 56 44
41 3 64 32 3521 402 1820 1943 57 46
42 3 66 34 3554 415 1815 1978 66 47
43 2 66 35 3609 425 1818 2001 69 49
44 3 68 37 3634 434 1813 2039 64 51
45 2 68 37 3676 444 1844 2032 64 53
46 5 69 38 3707 464 1846 2054 76 57
47 2 69 39 3737 482 1835 2091 74 58
48 2 71 41 3760 496 1863 2090 68 58
49 3 72 44 3794 511 1832 2136 82 59
50 0 74 44 3823 525 1822 2174 85 61
51 2 75 47 3851 535 1796 2218 75 62
52 2 77 47 3876 549 1811 2219 80 63
53 5 77 47 3897 563 1823 2223 80 64
54 3 80 47 3916 580 1817 2247 83 66
55 3 82 48 3931 591 1804 2279 86 66
56 3 83 50 3954 608 1808 2298 91 68
57 4 84 51 3982 620 1766 2355 83 68
58 5 84 52 3998 632 1750 2391 94 69
59 3 86 53 4021 639 1768 2386 101 69
60 2 86 56 4040 658 1779 2394 95 71
61 1 89 57 4062 669 1748 2439 104 72
62 1 91 61 4080 683 1755 2447 108 74
63 2 93 62 4097 692 1770 2442 111 75
64 1 94 63 4106 707 1776 2456 110 77
65 2 95 63 4121 719 1828 2424 97 77
66 1 99 64 4145 729 1845 2419 116 80
67 2 99 66 4160 750 1857 2421 113 82
68 3 102 66 4175 764 1844 2443 119 83
69 0 102 68 4188 774 1838 2459 126 84
70 3 103 71 4198 790 1812 2497 116 84
71 5 105 71 4212 802 1810 2509 128 86
72 4 106 72 4222 816 1811 2522 121 86
73 2 107 72 4237 830 1813 2528 132 89
74 2 107 72 4249 836 1821 2530 128 91
75 5 107 73 4263 854 1817 2544 126 93
76 0 108 73 4278 864 1794 2576 133 94
77 0 109 76 4288 875 1806 2577 132 95
78 2 110 78 4301 888 1811 2583 146 99
79 2 113 79 4311 903 1801 2600 138 99
80 3 114 79 4326 915 1803 2609 145 102
81 1 116 80 4337 921 1809 2610 145 102
82 5 116 82 4349 935 1826 2600 136 103
83 1 118 82 4356 944 1811 2619 145 105
84 1 121 83 4364 953 1796 2643 144 106
85 7 122 83 4372 964 1781 2666 138 107
86 5 123 86 4379 977 1768 2684 158 107
87 2 124 86 4383 990 1768 2686 154 107
88 2 125 88 4388 998 1756 2702 154 108
89 1 126 90 4393 1012 1752 2712 150 109
90 0 126 90 4397 1019 1755 2715 160 110
91 1 130 93 4403 1039 1752 2722 157 113
92 2 131 95 4414 1046 1775 2707 152 114
93 4 133 97 4424 1056 1766 2725 175 116
94 2 134 97 4433 1068 1764 2731 174 116
95 2 135 100 4437 1077 1765 2734 172 118
96 2 136 103 4446 1085 1735 2768 171 121
97 1 137 103 4450 1096 1723 2785 175 122
98 2 139 104 4454 1105 1741 2776 193 123
99 3 140 105 4462 1122 1721 2806 175 124
100 5 143 105 4471 1131 1713 2816 180 125
101 2 145 107 4479 1138 1721 2814 192 126
102 3 145 108 4486 1148 1731 2807 188 126
103 3 145 108 4490 1155 1721 2823 178 130
104 2 145 111 4495 1162 1715 2842 182 131
105 4 146 113 4504 1174 1717 2843 200 133
106 0 149 113 4509 1188 1721 2846 190 134
107 4 151 114 4519 1197 1717 2852 189 135
108 7 155 115 4520 1206 1725 2849 197 136
109 3 156 117 4524 1217 1733 2847 202 137
110 2 157 118 4531 1228 1713 2869 199 139
111 3 159 119 4534 1237 1709 2876 193 140
112 2 161 122 4536 1249 1700 2889 196 143
113 1 163 123 4542 1258 1707 2890 209 145
114 3 163 124 4551 1268 1698 2902 205 145
115 1 166 125 4558 1283 1688 2915 222 145
116 2 166 127 4566 1290 1694 2915 218 145
117 3 167 129 4569 1300 1702 2911 210 146
118 3 168 130 4572 1307 1700 2921 211 149
119 0 169 132 4579 1321 1703 2923 212 151
120 4 169 134 4584 1330 1708 2924 217 155
