1 54 0 0 0 0 2 189 9 0 0 0 NA NA NA NA NA 2 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 200 0 0
2 63 4 3 1 0 1 327 13 1 0 0 0 NA NA NA NA 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 156 0 0
3 52 6 5 1 0 4 479 23 0 0 0 1 NA NA NA NA 3 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 180 0 0
4 55 7 6 1 0 8 616 41 0 0 0 2 NA NA NA NA 4 41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 186 0 0
5 75 11 10 1 0 9 741 31 2 0 0 2 NA NA NA NA 4 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 163 0 0
6 64 11 10 1 1 10 844 38 3 0 0 3 2 NA 2 NA 4 38 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 153 0 0
7 36 12 10 2 1 15 965 41 2 0 0 2.5 2 NA 2 NA 7 41 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 169 0 0
8 54 18 16 2 1 14 1077 50 5 0 0 3 2 NA 2 NA 4 50 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 172 0 0
9 53 20 18 2 1 21 1165 62 3 0 0 3 2 NA 2 NA 10 62 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 161 0 0
10 54 21 19 2 1 23 1242 64 6 0 0 3 2 NA 2 NA 9 64 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 152 0 0
11 49 24 21 3 1 23 1320 61 4 0 0 3 2 NA 2 NA 5 61 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 150 0 0
12 59 27 22 5 1 26 1378 65 4 0 0 4 2 NA 2 NA 7 65 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 140 0 0
13 215 31 23 8 1 26 1273 51 4 0 0 5 2 NA 2 NA 5 51 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 115 0 103
14 64 35 26 9 1 30 1278 62 3 2 0 5 2 NA 2 NA 7 62 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 4 157 0 175
15 56 41 32 9 1 32 1255 73 3 4 0 4 2 NA 2 NA 6 73 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 5 147 0 259
16 69 42 32 10 1 31 1224 69 6 5 0 4.5 2 NA 2 NA 6 69 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 145 1 346
17 74 42 32 10 1 36 1200 66 4 8 0 5 2 NA 2 NA 9 66 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 142 1 426
18 48 41 31 10 2 38 1166 59 7 8 0 6 7.5 NA 7.5 NA 8 59 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 122 1 508
19 64 48 38 10 4 38 1158 66 8 9 0 6 13.5 NA 13.5 NA 8 66 0 4 0 0 0 0 0 0 0 4 0 0 0 0 0 0 4 144 2 582
20 59 50 40 10 4 43 1162 58 4 14 0 7 13.5 NA 13.5 NA 10 58 0 4 0 0 0 0 0 0 0 4 0 0 0 0 0 0 1 154 3 656
